제목,시간,언론사,본문
[코스닥(마감)] 1.18포인트(0.13%) 오른 931.75 마감,2022-03-24 16:23,서울경제,[서울경제][코스닥(마감)] 1.18포인트(0.13%) 오른 931.75 마감
"휘닉스소재, 비케이홀딩스로 상호 변경",2022-03-24 16:22,아시아경제,휘닉스소재는 기업이미지 제고 및 사업다각화를 위해 비케이홀딩스로 상호를 변경한다고 24일 공시했다.
"코스닥 930선 회복, LG화학 4.53% 상승 마감 [마감시황]",2022-03-24 16:22,이코노미스트,"삼성전자·SK하이닉스 하락, 삼성SDI 2%대 강세넷마블·엔씨소프트 약세, 카카오게임즈 6.96% ↓코스닥 상승률 1위 동신건설·하락률 1위 안랩24일 코스피지수는 전날보다 5.39포인트(0.20%) 내린 2729.66에 마쳤다. [중앙포토]24일 코스피지수는 전날보다 5.39포인트(0.20%) 내린 2729.66에 마쳤다. 개인이 6787억원 사들였지만, 지수를 끌어올리기엔 역부족이었다. 반면 외국인은 4782억원, 기관은 2222억원 팔아치웠다.시가총액 상위 항목은 희비가 엇갈렸다. 반도체 대장주 삼성전자는 0.99%, SK하이닉스는 2.43% 빠지고 있다. ICT 대장주 네이버(-1.59%)와 카카오(-1.41%)는 동반 하락했다. 반면 배터리주는 상승했다. LG에너지솔루션은 0.25%, 삼성SDI는 2.12% 올랐다.특히 LG화학은 4.53% 올랐다. LG화학은 전날 주주총회에서 신사업 매출 목표는 30조원이라고 밝혔다. 신학철 부회장은 사내이사에 재선임됐다. 원전 관련주인 두산중공업은 3.89% 상승 마감했다.이밖에 게임주인 엔씨소프트(-1.39%)와 넷마블(-1.79%)은 동반 하락했다.이날 유가증권시장에서 가장 많이 오른 종목엔 대신 2X 니켈선물 ETN(H), 이스타코가 꼽혔다. 반면 가장 많이 떨어진 종목엔 대신 인버스 니켈선물 ETN(H), 하이트론이 이름을 올렸다.코스닥지수는 전날보다 1.18포인트(0.13%) 오른 931.75에 마감했다. 투자자별로는 개인이 1428억원 순매수했다. 반면 외국인은 823억원, 기관은 305억원 순매도했다.시가총액 상위 항목은 대부분 빠졌다. 셀트리온 3형제는 동반 하락했다. 셀트리온헬스케어는 1.07%, 셀트리온제약은 0.81%, 코스피 상장사 셀트리온은 0.88% 하락 마감했다. 게임주는 희비가 엇갈렸다. 카카오게임즈가 6.96% 빠진 반면 위메이드는 3.87% 상승 마감했다.연일 최고가를 경신하던 안랩의 하락세가 두드러졌다. 안랩은 장 초반 21만원까지 치솟았다가 17.52% 하락 마감했다. 반면 엔터주는 동반 상승했다. 에스엠은 2.66%, 와이지엔터테인먼트는 1.17%, JYP는 0.88% 올랐다. 엔터관련주인 디어유는 5.31% 급등했다.이날 코스닥시장에서 가장 많이 오른 종목은 동신건설, 금강철강이었다. 반면 가장 많이 떨어진 종목은 안랩, 에디슨EV였다."
"한국테크놀로지, 한국인베스트먼트뱅크 흡수합병",2022-03-24 16:21,이데일리,"[이데일리 김인경 기자] 한국테크놀로지(053590)는 한국인베스트먼트뱅크를 흡수합병하기로 했다고 24일 공시했다.회사 측은 경영효율성 증대 및 사업경쟁력 강화를 위한 결정이라며 신주를 발행하지 않는 무증자 합병인 만큼, 최대주주 변경이나 경영권 변동은 없다고 밝혔다."
"[엔터Biz-D] 씨씨에스, 반기문 새 정부 총리 거론에 30% 급등",2022-03-24 16:21,더팩트,반기문 고향 충북 음성서 유선방송 사업 영위윤석열 대통령 당선인(오른쪽)이 18일 서울 종로구 통의동 집무실에서 반기문 전 유엔사무총장을 만나 인사를 나누고 있다. /국회사진취재단충북지역 유선방송사 씨씨에스가 투자자들의 주목을 받았다.24일 씨씨에스는 전 거래일 대비 30%(216원) 오른 936원에 거래를 마쳤다. 8거래일 연속 상승이며 하루 만에 200원 넘게 오른 것은 올해 들어 처음이다.씨씨에스의 이날 강세는 윤석열 대통령 당선인의 차기 정부 초대 국무총리로 반기문 전 유엔사무총장이 거론되고 있기 때문으로 풀이된다. 윤 당선인은 지난 18일 서울 종로구 통의동 지무실에서 반기문 전 총장을 만나 이야기를 나눴다.씨씨에스는 반기문 전 총장의 고향인 충북 음성군에서 케이블TV를 운영하고 있다는 이유로 '반기문 관련주'로 분류되고 있다. 과거 반기문 전 총장이 국민의힘(당시 새누리당) 대선 후보로 하마평에 올랐을 때도 주가가 크게 오른 바 있다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write
"E1, LG화학과 1183억원 규모 액화석유가스 매매계약 체결",2022-03-24 16:21,이데일리,[이데일리 오희나 기자] E1(017940)은 LG화학과 액화석유가스 매매 계약을 체결했다고 24일 공시했다.계약금액은 1183억원으로 2020년 연결매출 대비 3.01%이며 계약기간은 2023년 2월1일부터 2024년 1월31일까지다
그릭요거트 밀크티 등 건강 디저트부터 대체식품까지...헬시플래저(Healthy Pleasure) 위한 건강 식(食)문화 ‘주목’,2022-03-24 16:21,서울경제,"- 즐겁게 건강을 관리하는 ‘헬시플래저’ 개념 대두...건강한 디저트, 대체식품 등 ‘인기’- 공차의 그릭요거트 밀크티 등 건강 디저트부터 식물성 우유 및 대체육까지 ‘다양’▲ 공차 그릭요거트&딸기 밀크티 크러쉬, 그릭요거트&망고 밀크티 크러쉬[서울경제]음식을 어떻게 효율적이고 건강하게 즐길 수 있을지 고민하는 '헬시플래저(Healthy Pleasure)' 시대가 도래했다. 헬시플래저는 건강우선주의를 넘어 고통과 부담을 최소화해 일상에서도 부담 없이 즐길 수 있는 '즐거운 건강 관리'를 뜻한다. 무작정 굶거나 맛없는 채소로 건강을 지키는 것이 아니라 건강한 재료의 디저트와 다양한 대체식품, 맛있는 식재료를 활용해 식단을 관리하는 것이 핵심이다.이 같은 트렌드와 함께 식품 업계도 발빠르게 움직이고 있다. 건강하고 신선한 유기농 식재료, 맛과 영양까지 고루 갖춘 다양한 디저트 신제품이 잇달아 출시되는가 하면, 100% 순 식물성 재료로 만든 대체 빵과 대체육 식품도 MZ세대 사이에서 새로운 식문화로 자리잡고 있다.그릭요거트부터 오트밀크까지 건강 디저트 음료 ‘눈길’글로벌 티(Tea) 음료 전문 브랜드 공차코리아는 최근 프리미엄 건강 디저트로 인기를 얻고 있는 그릭요거트를 활용한 신메뉴를 선보였다. 꾸덕하고 상큼고소한 맛으로 주목되는 ‘그릭요거트’는 높은 단백질과 칼슘, 유산균 함량으로 건강까지 챙길 수 있어 세계 5대 슈퍼푸드로 손꼽히고 있다. 공차의 시그니처 밀크티에 그릭요거트 한 통을 통째로 올린 이번 ‘그릭요거트’ 신메뉴 3종은 ‘그릭요거트&밀크티 크러쉬’, ‘그릭요거트&딸기 밀크티 크러쉬’, ‘그릭요거트&망고 밀크티 크러쉬’로 구성돼 있다. 공차만의 스타일로 즐길 수 있는 밀크티 크러쉬부터 그릭요거트와 환상의 궁합을 자랑하는 딸기, 망고 밀크티 크러쉬까지 다양하게 즐길 수 있으며, 디저트 및 식사 대용으로도 손색없다.공차는 지난 22일부터 그릭요거트 신메뉴 구매 고객을 대상으로 그라놀로지 ‘하루 그래놀라’를 증정하는 이벤트를 진행 중이다. ‘그래놀라’는 특히 그릭요거트와 환상의 궁합을 자랑하는 식재료로, 공차 그릭요거트와 페어링 했을 때 더욱 특별하고 건강한 맛을 즐길 수 있다. 해당 이벤트는 전국 공차 매장(일부 매장 제외)에서 진행되며, 준비 수량 소진 시 조기 종료될 수 있다.식물성 대체 우유인 ‘오트밀크’를 활용한 음료도 나왔다. 투썸플레이스는 ‘오트밀크’를 활용한 음료 ‘데일리 오트 코코넛 라떼’와 ‘데일리 오트 바나나 프라페’ 2종을 선보였다. ‘데일리 오트 코코넛 라떼’는 오트밀크와 코코넛의 풍미를 더한 커피메뉴이며, ‘데일리 오트 바나나 프라페’는 오트밀크와 바나나를 함께 블렌딩한 프라페 음료다. 우유를 마시지 못 하는 사람들도 편하고 건강하게 섭취할 수 있는 우유 대체 음료가 될 것으로 기대된다.▲ 공차코리아 그릭요거트 신메뉴 3종글루텐 프리, 비건 식단 위한 ‘건강한 빵’ 인기채식 열풍이 빵과 디저트로 확산되면서 글루텐 프리, 비건 식단을 위한 ‘건강한 빵’도 훨씬 다양해졌다. 국내 채식 인구가 지난해 200만명으로 증가하면서 관련 상품 수요도 증가하고 있는 것. 수버킷이 운영하는 베이커리 브랜드 ‘망넛이네’는 순식물성 재료만 사용해 건강한 빵을 선보이고 있다. 밀가루와 우유, 달걀, 버터 대신에 쌀과 찹쌀, 코코넛오일 등 순식물성 재료만 사용하여 만든 ‘대체 빵’은 동물성 식재료에 알러지가 있는 사람들뿐만 아니라 채식주의자, 식단 관리가 필요한 다이어터 사이에서 인기를 얻고 있다.또한 최근 캐나다 비건 식품 기업 데이야(Daiya)의 비건베이커리 및 음료 제품이 국내 진출하는가 하면, 롯데제과는 비건 트렌드를 겨냥해 자체 비건빵 브랜드인 브이브레드(V-bread)를 출시해 호응을 얻고 있다.비건 인구 증가하며 대체식품 다양화국내 소비자에게 익숙하지 않은 대체식품 시장도 다양화하고 있다. 농심은 비건 식품 브랜드 ‘베지가든’을 선보이며 건강한 대체 식품 사업에 적극적으로 뛰어들고 있다. 대체육부터 조리냉동식품, 즉석 편의식, 소스, 치즈 등 국내 비건 브랜드 중 가장 폭넓은 제품군을 자랑한다. 특히 베지가든의 대체육은 실제 고기와 유사한 맛과 식감, 고기 특유의 육즙까지 그대로 재현해냈다는 긍정적인 평가를 받고 있으며, 오는 4월 비건 레스토랑 ‘포리스트 키친’도 오픈할 계획이다.또한 프레시지는 호주 글로벌 식물성 대체육 전문 기업 v2푸드 제품을 활용해 리조또, 함박스테이크 등 ‘대체육 밀키트’를 선보였다. 소비자들에게 아직 익숙하지 않은 대체육을 밀키트와 결합, 소비 접근성을 높이며 국내 대체육 시장 저변을 확대해 나가고 있다. 이 외에도 삼일제약 건강관리 브랜드 일일하우가 출시한 100% 채식 단백질 음료, 랩노쉬의 비건 선식 제품 '마시는 식사' 등 대체식품 카테고리도 확대되고 있다.공차코리아 관계자는 “주 소비층으로 급부상하는 MZ세대는 예전보다 훨씬 더 강력하게 스스로의 건강을 관리하면서도 가치소비를 중시하는 세대""라며 ""음식 역시 하나의 트렌드로, 식습관 변화나 소비자들의 요구에 발맞춰 일상에서 보다 즐겁고 건강한 루틴을 만들 수 있는 제품들을 선보일 것”이라고 말했다."
"KPX생명과학, 양준화·이기성 각자 대표이사로 변경",2022-03-24 16:20,아시아경제,KPX생명과학은 양준화 대표이사 취임에 따라 양준화·이기성 각자 대표이사로 변경했다고 24일 공시했다.
지투파워 IPO 흥행…청약 경쟁률 2029.37대 1 기록,2022-03-24 16:20,조선비즈,"스마트그리드 정보통신(IT) 솔루션업체 지투파워가 일반 투자자를 대상으로 실시한 공모주 청약에서 흥행에 성공했다.지투파워CI/지투파워 제공24일 지투파워에 따르면 지난 22~23일 실시한 일반 투자자 대상 공모주 청약에서 경쟁률 2029.37대 1을 기록했다. 청약 증거금은 3조6818억원이 몰렸고, 청약 건수는 54만7292건을 기록했다.앞서 17~18일 진행한 기관 투자자 대상 수요예측에서는 1729.63대 1의 경쟁률을 기록하며 공모가를 희망 밴드(1만3500원~1만6400원) 최상단인 1만6400원으로 확정한 바 있다.지투파워는 상태감시진단(CMD) 기술을 바탕으로 전기안전 사고에 취약한 수배전반, 태양광발전시스템 등의 산업 설비에 상태감시진단 IT솔루션을 제공하는 기업이다.상태감시진단이란 산업설비들의 누전, 부분방전, 가스누출 등의 상태를 감시하고 진단하는 디지털 기술을 뜻한다. 상장 후 공모자금을 생산능력 확보를 위한 신축공장 설립과 운영자금 등에 활용할 계획이다.지투파워의 모든 제품은 발주에서 설계제작, 현장설치까지 고객 맞춤형 주문제작이 가능한 생산체계를 구축했다. 업계 최초로 수배전반용 지능형 상태감시진단 시스템을 국산화하기도 했다.김영일 지투파워 대표이사는 “수요예측에 이어 지투파워의 가치와 미래 성장 가능성을 믿고 성원해주신 투자자분들께 진심으로 감사드린다”며 “상장 후에도 안정적인 매출을 유지하고 신사업을 확대해 스마트그리드 기반 IT 솔루션 기업의 선두주자로 자리매김하겠다”고 말했다.지투파워는 오는 25일 납입을 거쳐 내달 1일 코스닥 시장에 상장할 예정이다. 대표주관사는 한국투자증권, 공동주관사는 KB증권이다."
코스피 낙폭 줄이며 2729선으로 마감 [fn시황],2022-03-24 16:19,파이낸셜뉴스,"코스피가 전 거래일 대비 5.39p(0.20%) 내린 2729.66에 마감한 24일 오후 서울 중구 하나은행 딜링룸에서 딜러들이 업무를 보고 있다. 뉴시스 제공[파이낸셜뉴스] 코스피 지수가 낙폭을 줄이며 2729선으로 마감했다. 간밤 뉴욕 증시보다는 실시간 선물에 더 영향을 받으며 상대적으로 견조한 흐름을 나타냈다. 24일 한국거래소에 따르면 코스피는 전날 대비 5.39p(-0.20%) 하락한 2729.66으로 거래를 마쳤다. 외국인이 4676억을 팔아치웠고 기관도 2233억원을 동반 매도했다. 개인만 6751억원을 순매수하며 지수를 방어했다.코스피 시가총액 상위 10개 종목 중 LG화학(4.53%), 삼성SDI(2.12%), LG에너지솔루션(0.25%) 등은 상승했다. SK하이닉스(-2.43%), NAVER(-1.59%), 카카오(-1.41%), 삼성바이오로직스(-1.32%), 삼성전자우(-0.16%) 등은 하락했다.상승 업종은 음식료품(2.06%), 섬유의복(1.56%), 기계(1.54%), 의료정밀(1.23%), 비금속광물(1.20%) 등이다. 하락 업종은 은행(-1.18%), 서비스업(-0.88%), 의약품(-0.79%), 전기전자(-0.73%), 철강금속(-0.65%) 등이다.코스닥은 전날 대비 1.18p(0.13%) 상승한 931.75를 기록했다. 개인은 1421억원 순매수했다. 기관과 외국인은 각각 307억원, 800억원을 순매도했다.코스닥 시가총액 상위 10개 종목 중 위메이드(3.87%), 천보(0.92%), 엘앤에프(0.15%) 등은 상승했다. 카카오게임즈(-6.96%), 에코프로비엠(-2.22%), CJ ENM(-1.78%), HLB(-1.72%), 셀트리온헬스케어(-1.07%), 셀트리온제약(-0.81%) 등은 하락했다.상승 업종은 건설(2.29%), 음식료·담배(2.04%), 의료·정밀기기(1.38%), 통신장비(1.07%), 반도체(0.71%) 등이다. 하락 업종은 방송서비스(-1.32%), 컴퓨터서비스(-1.30%), 통신방송서비스(-1.16%), 소프트웨어(-1.14%), 일반전기전자(-0.83%) 등이다."
"""여기 묻어두면 무조건 돈 번다""…변동성 지친 개미들 가장 안전한 ETF 찜",2022-03-24 16:19,매일경제,"S&P500ETF 이달 1200억 증가필라델피아반도체ETF도 늘어1월 매수 몰린 코스피 ETF는자금 속속 이탈 순자산 감소올해 초 국내 증시를 추종하는 상장지수펀드(ETF)로 쏠렸던 투자자금이 빠져나가고 미국 증시를 추종하는 ETF로 빠르게 방향을 틀고 있다. 올 들어 하락했던 미국 증시가 바닥을 다지고 상승할 것이라는 기대감에 미국 증시를 추종하는 국내 ETF의 순자산 규모도 최근 크게 늘어났다.24일 한국거래소에 따르면 지난 2~22일 주식형 ETF 가운데 타이거(TIGER) 미국S&P500 ETF의 순자산총액이 1213억원 늘며 가장 큰 증가액을 기록했다. ETF 가격 역시 같은 기간 4% 이상 상승했다.특히 이달 들어 미국 증시에 투자하는 ETF에 자금이 몰리는 양상을 보이고 있다. TIGER 미국필라델피아반도체나스닥 ETF(1167억원), TIGER 미국나스닥100 ETF(1048억원) 등이 순자산 증가 상위 5개 ETF에 이름을 올렸다. 미국 핵심 기술주 10개 종목에 집중 투자하는 TIGER 미국테크TOP10 INDXX ETF 역시 1000억원 이상 순자산 규모가 커졌다.김태홍 그로쓰힐자산운용 대표는 ""올 초 이후 미국 증시 하락폭이 컸던 만큼 지수 추종 상품으로 이른바 스마트 머니가 몰리고 있는 것""이라며 ""4월 미국 연방공개시장위원회(FOMC) 의사록 발표 전까지 불확실성이 남아 있지만 경기지표도 반등 여지가 있고 물가 상승세 역시 5월이면 안정세를 찾을 것""이라고 전망했다.이 같은 모습은 올해 초 국내 ETF 시장에서의 매매 추세와는 달라진 모습이다. 일례로 올해 1월 3~21일 기준 국내 ETF 가운데 자금이 가장 많이 유입된 상품은 코덱스(KODEX) 레버리지 ETF였다. 코스피200지수를 2배로 추종하는 상품으로 이 기간 5000억원 가까이 자금이 몰렸다.이뿐만 아니라 코스닥150지수를 추종하는 ETF가 자금 유입 3위에 위치하는 등 국내 증시에 투자하려는 경향이 강했다. 반면 이 기간 미국나스닥100 ETF는 자금 유입 기준 10위 안팎까지 밀렸다. 1월에만 코스피가 11%가량 하락하면서 저점 매수 수요가 커진 것이다.하지만 이달 2~22일 KODEX 200 ETF의 순자산총액이 4144억원 감소하며 국내 상장 ETF 중 감소폭이 가장 컸다. TIGER 200 ETF 역시 1583억원 줄어든 것으로 집계됐다. 국내 증시 추종 ETF에서 속속 자금이 빠져나가고 있는 것을 알 수 있다. 이뿐만 아니라 지난해 큰 인기를 끌었던 TIGER 차이나전기차 솔랙티브(SOLACTIVE) ETF 역시 이달 순자산이 1655억원 감소했다.테마형 ETF 가운데는 메타버스, 여행레저 업종에 투자하는 ETF 등이 강세를 보였다. 가령 TIGER Fn메타버스 ETF의 경우 460억원 이상 순자산총액이 증가한 것으로 나타났다. 지난해 10월 상장한 TIGER Fn메타버스 ETF는 5개월여 만에 순자산총액이 5000억원 가까이 커졌다. 메타버스 ETF는 이달에만 10% 가까이 오르며 올해 초 저점을 기록한 이후 최근 상승 곡선을 그리고 있다. 여행 수요가 늘 것이라는 기대감에 TIGER 여행레저 ETF 역시 순자산 규모가 260억원 이상 늘었다.안전자산 수요가 늘면서 초단기형 채권지수 수익률을 추종하는 TIGER 단기통안채에 이달 4000억원 이상의 자금이 몰렸고, 삼성그룹사 전반에 투자하는 KODEX 삼성그룹밸류 ETF에도 이달 800억원 이상의 자금이 유입됐다.유가 하락 예상 시 투자하는 원유 선물 인버스 ETF로 자금이 몰린 것도 눈길을 끈다. KODEX WTI원유선물인버스(H) ETF에 이달에만 640억원의 자금이 유입됐는데 가격은 11%가량 하락했다."
"[특징주] 세아메카닉스, '따'는 성공했지만…13.64% 하락 마감",2022-03-24 16:18,더팩트,"공모가와 견주면 72.7%가량 높아24일 세아메카닉스는 시초가(8800원) 대비 13.64%(1200원) 하락한 7600원에 장을 마감했다. /세아메카닉스 홈페이지 갈무리세아메카닉스가 코스닥 입성일에 14% 가까이 빠지며 장을 마무리 지었다. 흥행에 비해서는 아쉬운 성적이지만 공모가보다는 72.7%가량 높다.24일 세아메카닉스는 시초가 대비 13.64%(1200원) 하락한 7600원에 장을 마감했다. 세아메카닉스는 이날 공모가(4400원)의 200%인 8800원에 시초가를 형성하고 장 초반 1만1400원까지 치솟았지만 이내 내리막길을 걸었다.세아메카닉스는 1999년 설립돼 알루미늄 다이캐스팅 기술을 기반으로 자동차 및 전자 부품을 생산하는 기업이다. 주요 제품은 2차전지 부품, 전기자동차 및 전동이륜차 부품, 수소자동차 부품 등이 있다.세아메카닉스는 앞서 수요예측과 공모청약에서 흥행에 성공했다. 지난 10~11일 이뤄진 수요예측에서는 경쟁률 1812.83대 1을 기록하며 공모밴드(3500~4000원)보다 높은 4400원에 공모가를 확정했다. 지난 15~16일 진행된 일반투자자 대상 공모청약에서는 경쟁률 2475.87대 1을 기록했다. 청약증거금은 약 9조1082억 원으로 집계됐다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write"
"에스에프티 종속회사 이슬, 174억원 규모 제3자 배정 유증",2022-03-24 16:18,이데일리,[이데일리 김인경 기자] 에프에스티(036810)는 종속회사인 이슬이 운영자금 158억9967만원과 채무상환 자금 16억원을 마련하기 위해 제3자배정 유상증자를 결의했다고 24일 공시했다.신주는 종류주 6만8018주로 1주당 25만7280원이다. 배정받는 제3자는 신영에스케이에스 공동투자2017 사모투자 합자회사 등이다.
'나흘연속 상한가' 현대사료 놓쳤다면…곡물값 상승 다음 수혜주 이것 잡아라,2022-03-24 16:18,매일경제,"현대사료 나흘째 상한가한성기업·남해화학 주목러시아의 우크라이나 침공으로 곡물값이 급등하자 사료주가 수혜주로 꼽히며 연일 주가가 급등하고 있는 가운데 실적 개선이 기대되는 비료와 중간재 업체들에 주목해야 한다는 분석이 나왔다.24일 한국거래소에 따르면 현대사료는 5만3300원에 거래를 마치며 나흘 연속 상한가를 기록했다. 세계적인 곡물 수출국인 러시아와 우크라이나의 전쟁이 장기화되자 이들 업체의 수요 증가와 판매가격 인상 등 실적 개선으로 이어질 것이란 기대감이 유입됐다. 한성기업(29.92%), 동원수산(29.81%), 사조씨푸드(17.22%), CJ씨푸드(9.90%) 등 수산물 관련주도 이날 급등세를 보였다. 전쟁 장기화에 따른 수산물 항공 운임비 증가 등 식량위기 우려에 매수세가 몰린 것으로 풀이된다.증권가에선 국제 곡물 가격이 급등하는 '애그플레이션(Agflation)'이 장기화될 수 있단 분석이 나온다. 전우제 한화투자증권 연구원은 ""지난해 하반기부터 중국의 비료 수출 제재와 암모니아·요소 등 원재료 부족, 미국의 자연재해로 인한 곡물 부족 현상이 나타났다""며 ""올 들어 전쟁으로 인한 비료와 중간재 수출 중단으로 전 세계 비료업체들의 가동률이 축소됐고 러시아와 우크라이나의 농산물 수출 축소 우려까지 가세됐다""고 분석했다.염화칼륨, 인, 요소 등 원재료 부족으로 비료 가격이 치솟자 비료를 사용해 생산하는 곡물 가격이 또다시 급등하는 악순환이 일어나는 것으로 분석된다. 전 연구원은 ""이번 공급 감소의 범위가 원재료, 중간재, 비료, 곡물 등 모든 밸류체인에서 나타나고 있고 각 분야의 10~40%에 차질이 발생하는 상황""이라며 ""과거에 비해 더 크고 긴 애그플레이션이 될 수도 있다""고 전망했다.2006~2008년 당시 전 세계적인 곡물 수요 증가와 함께 바이오연료 정책 활성화, 중국의 비료 수출 금지 등으로 인해 곡물 가격이 급등한 바 있는데, 이는 지금과 달리 수요 강세에 따른 현상이었다는 설명이다. 당시 농산물 가격이 물가 상승을 주도해 경기 침체가 나타나기도 했다.애그플레이션 수혜 업종으로는 비료와 중간재가 최우선으로 꼽히고 그다음으로 사료·농기계가 주목된다. 비료·중간재 기업들이 높은 원가를 판매가격에 전가하며 시황을 대폭 개선할 것이란 예측이다. 사료에 비해 비료주의 주가 상승 여력도 클 것으로 분석된다. 최근 한 주 동안 현대사료(196.94%), 한일사료(85.06%) 등 사료주는 급등세를 보인 데 비해 남해화학(21.98%), 효성오앤비(4.83%) 등은 상승폭이 제한적인 것으로 나타났다.비료주에선 남해화학이 주목된다. 전 연구원은 ""작년 말 높은 비료와 원재료 가격을 감안했을 때 판가도 높은 수준으로 계약됐을 것이며, 추가 판가 인상도 가능한 시황""이라고 분석했다. 중간재 관심 종목으로 제시한 유니드에 대해선 ""염화칼륨 부족으로 인해 경쟁사들은 가성칼륨 생산에 차질을 빚고 있는데 유니드는 원재료를 전량 캐나다에서 구입하기 때문에 가동에 문제가 없다""고 밝혔다. 그러면서 유니드에 대한 투자의견은 매수, 목표주가는 14만원을 제시했다."
"하이투자증권, 이사회에 ESG위원회 신설",2022-03-24 16:16,연합뉴스,"하이투자증권[촬영 안 철 수](서울=연합뉴스) 윤선희 기자 = 하이투자증권이 이사회 내에 ESG(환경·사회·지배구조) 위원회를 신설했다.하이투자증권은 24일 서울 은행회관 국제회의실에서 제34기 정기 주주총회를 열어 재무제표 보고와 이사 선임 등 3가지 안건을 결의했다고 밝혔다.하이투자증권은 지난해 연결기준으로 1천639억원의 당기순이익을 올렸으며 상환전환우선주 주당 60원을 배당하기로 했다. 배당금 총액은 38억원이다.하이투자증권은 주총에서 사외이사 3명과 기타 비상무이사 1명을 선임했다.송형근·이성동 이사가 임기 2년의 사외이사로 새로 선임됐으며 최영호 이사는 임기 1년의 사외이사에, 김영석 이사는 임기 1년의 기타 비상무이사에 각각 재선임됐다.하이투자증권은 정관변경을 통해 이사회 내 위원회로 ESG(환경·사회·지배구조) 위원회를 신설했다.홍원식 대표이사는 ""확보된 자본의 효율적 사용을 통해 최적화된 사업 포트폴리오를 구축하고 외부 환경에 적극적이고 발 빠르게 대응해 수익을 확대해나가겠다""고 밝혔다.indigo@yna.co.kr"
"피제이메탈, 박제서 사외이사 재선임…김영진씨 신규 사외이사 선임",2022-03-24 16:15,이데일리,[이데일리 김인경 기자] 피제이메탈(128660)은 박제서 사외이사를 재선임하고 김영진 포스코 O&M 전무를 신규 사외이사로 선임했다고 24일 공시했다.
"예탁원, 작년 8774개 펀드에 자산대사 지원",2022-03-24 16:15,디지털타임스,"<한국예탁결제원 제공>한국예탁결제원은 '비시장성자산 투자지원 플랫폼'을 통해 지난해 4분기까지 집합투자업자와 신탁업자간 8774개 펀드에 대해 자산대사 지원을 완료했다고 24일 밝혔다.예탁원 측은 ""자산대사는 정책당국의 사모펀드 투자자보호·체계개편을 위한 자본시장법 하위규정 개정에 따른 법상 최초의 자산대사""라며 ""참가자들이 사전에 플랫폼에 총 7743건(21일 기준. 증권 2043건, 비증권·비금융 4504건, 외화증권 1196건)의 비시장성자산 정보를 등록했다""고 전했다.예탁원은 플랫폼이 본격 가동하면서 비시장성 자산코드 표준화 및 자산대사 전산화로 업무 효율성 증대 및 업계 내부통제 강화로 리스크 축소가 가능할 것으로 기대했다. 참가자간 상이한 비시장성자산 관리체계를 표준화해 금융감독원의 사모펀드 전수점검 전산화 및 자동화에 기여할 것으로 예측된다.또한 예탁원은 펀드재산 자산대사 지원에 그치지 않고 플랫폼에 등록된 비시장성 자산코드의 활용성을 제고하기 위해 오는 5월말에 '비시장성자산 운용지시 지원 시스템'을 추가적으로 선보인다는 방침이다. 비시장성자산에 대한 표준화·전산화된 운용지시로 시장성자산 위주의 펀드넷 서비스 범위가 확대되는데 의의가 있다 예탁원은 설명했다.예탁원 관계자는 ""플랫폼이 성공적으로 안착해 사모펀드의 든든한 안전장치로서 역할을 수행하고 이를 통해 투자자 신뢰가 회복될 수 있도록 업계와 최선의 노력을 다할 것""이며 ""자산운용업계 참가자들의 의견을 충분히 수렴해 추가적인 서비스도 지속적으로 개발해나갈 예정""이라고 밝혔다."
